, , training loss, validation accuracy, validation loss,Epoch,Unnamed: 5,Unnamed: 6
154, ,0.014936,0.956000,0.203083,52,,
157, ,0.013060,0.953000,0.201822,53,,
160, ,0.011424,0.955000,0.206775,54,,
163, ,0.010546,0.954000,0.223163,55,,
166, ,0.010492,0.956000,0.215352,56,,
169, ,0.009034,0.958000,0.219168,57,,
172, ,0.008485,0.955000,0.207341,58,,
175, ,0.007725,0.956000,0.229647,59,,
178, ,0.006562,0.955000,0.229738,60,,
181, ,0.006220,0.958000,0.228469,61,,
184, ,0.005685,0.958000,0.220662,62,,
187, ,0.005427,0.957000,0.228644,63,,
190, ,0.004999,0.956000,0.232337,64,,
193, ,0.004480,0.956000,0.225846,65,,
196, ,0.004296,0.957000,0.236618,66,,
199, ,0.003936,0.958000,0.238684,67,,
202, ,0.003878,0.957000,0.234978,68,,
205, ,0.003530,0.957000,0.239503,69,,
208, ,0.003146,0.959000,0.240084,70,,
211, ,0.002960,0.956000,0.248791,71,,
214, ,0.002933,0.960000,0.243323,72,,
217, ,0.002740,0.957000,0.252189,73,,
220, ,0.002594,0.957000,0.245350,74,,
223, ,0.002495,0.957000,0.249664,75,,
226, ,0.002347,0.958000,0.257006,76,,
229, ,0.002341,0.957000,0.252021,77,,
232, ,0.002215,0.955000,0.254409,78,,
235, ,0.002088,0.956000,0.250057,79,,
238, ,0.002089,0.957000,0.252722,80,,
241, ,0.001965,0.956000,0.258572,81,,
244, ,0.001903,0.957000,0.256736,82,,
247, ,0.001750,0.958000,0.266473,83,,
250, ,0.001709,0.956000,0.263104,84,,
253, ,0.001665,0.957000,0.262793,85,,
256, ,0.001592,0.956000,0.263143,86,,
259, ,0.001582,0.958000,0.264554,87,,
262, ,0.001468,0.958000,0.267352,88,,
265, ,0.001438,0.959000,0.269716,89,,
268, ,0.001355,0.955000,0.265011,90,,
271, ,0.001348,0.958000,0.272245,91,,
274, ,0.485263,0.821000,0.552354,92,,
277, ,0.440252,0.830000,0.538832,93,,
280, ,0.422852,0.833000,0.534605,94,,
283, ,0.434305,0.831000,0.512484,95,,
286, ,0.418831,0.799000,0.607515,96,,
289, ,0.439395,0.840000,0.512074,97,,
292, ,0.395687,0.826000,0.511725,98,,
295, ,0.407966,0.828000,0.496141,99,,
298, ,0.382275,0.835000,0.523759,100,,
301, ,0.388573,0.838000,0.490678,101,,
304, ,0.382854,0.838000,0.518620,102,,
307, ,0.364110,0.838000,0.484961,103,,
310, ,0.358716,0.839000,0.489181,104,,
313, ,0.349765,0.834000,0.496456,105,,
316, ,0.345809,0.841000,0.484630,106,,
319, ,0.386311,0.839000,0.494741,107,,
322, ,0.341500,0.841000,0.485764,108,,
325, ,0.336189,0.828000,0.513868,109,,
328, ,0.332068,0.829000,0.507083,110,,
331, ,0.326461,0.842000,0.490914,111,,
334, ,0.326739,0.824000,0.525352,112,,
337, ,0.323229,0.847000,0.462675,113,,
340, ,0.304832,0.830000,0.518246,114,,
343, ,0.338073,0.833000,0.506898,115,,
346, ,0.312488,0.841000,0.497599,116,,
349, ,0.292520,0.846000,0.465022,117,,
352, ,0.286326,0.841000,0.482051,118,,
355, ,0.276373,0.849000,0.476541,119,,
358, ,0.279996,0.834000,0.495206,120,,
361, ,0.272912,0.850000,0.455095,121,,
364, ,0.272858,0.848000,0.467913,122,,
367, ,0.272490,0.829000,0.482949,123,,
370, ,0.276852,0.849000,0.443385,124,,
373, ,0.259236,0.836000,0.538816,125,,
376, ,0.253369,0.849000,0.455659,126,,
379, ,0.261469,0.815000,0.557743,127,,
382, ,0.248173,0.854000,0.434865,128,,
385, ,0.260140,0.827000,0.555860,129,,
388, ,0.000561,0.957000,0.300430,130,,
391, ,0.000553,0.959000,0.302142,131,,
394, ,0.000545,0.958000,0.302969,132,,
397, ,0.000535,0.957000,0.303113,133,,
400, ,0.000528,0.957000,0.301863,134,,
403, ,0.000517,0.957000,0.304415,135,,
406, ,0.000523,0.957000,0.302816,136,,
409, ,0.000502,0.957000,0.305270,137,,
412, ,0.000494,0.957000,0.304280,138,,
415, ,0.000491,0.957000,0.305202,139,,
418, ,0.000476,0.958000,0.305921,140,,
421, ,0.000478,0.958000,0.306302,141,,
424, ,0.000467,0.957000,0.307906,142,,
427, ,0.000458,0.957000,0.308281,143,,
430, ,0.000452,0.957000,0.307724,144,,
433, ,0.000448,0.957000,0.309043,145,,
436, ,0.000443,0.958000,0.308890,146,,
439, ,0.000436,0.957000,0.310716,147,,
442, ,0.000429,0.957000,0.309393,148,,
445, ,0.000424,0.957000,0.310844,149,,
448, ,0.000419,0.957000,0.310101,150,,
